Start (s),End (s),Segment
0.16,2.08,Otherwise we just give a very shout out.
2.80,4.64,Thank you for the next uh slide.
5.20,6.08,The next one.
6.64,7.60,And the next one.
9.68,19.84,Um so I'll spend a couple of minutes on uh introducing our company because we're not as famous as we that probably none of you guys have heard of us so far.
20.16,28.80,"Um this coming up we're Welttech based in Switzerland founded around ten years ago, first client got live about eight years ago."
29.28,37.92,We're a joint venture of four companies basically combined company from companies from Zurich and from Austria.
38.56,53.04,The reason behind it is basically the Austrian guys are called guys so they are kind of like a spinoff from the University of Linz and found together with the more business oriented guys from Zurich a well-tech focusing on digitally investment out there.
53.12,64.64,So what we do is basically we offer a B2B software solution for banks predominantly and we cross three locations.
64.96,69.44,So our headquarter is close to the airport in Columbia.
70.08,78.16,"We have some development sites in Perg, that's next to Linsk, and also in Romania, the recent site that we opened roughly 12 months ago."
78.32,81.44,And we are more or less around 25 people.
81.68,89.60,"So you can see here 18, that's actually the FTE full-time equivalent number that we are working on the product as we speak."
89.92,99.20,"And yeah, we have more than 25 years of experience in initial investment advisory in the areas of physics and mathematics, finance and IT."
100.48,103.92,Maybe some key indicators also regarding our platform.
104.08,107.52,I mentioned our first plan got live eight years ago.
107.68,113.20,"Meanwhile, we have like 25 clients, banks on our software platform."
114.40,117.68,"Trend is increasing recently, which is good for us."
118.00,123.84,"We have around 1,000 active advisors on it, predominantly investment advisors or wealth managers."
124.16,132.56,"And I'll come to that later on to explain to you guys what it exactly is, because for some of you it might be a good abstract to imagine what a wealth manager actually does."
133.84,146.32,"We have around 500,000 portfolios that we manage on the platform, or that they manage on the platform, we calculate every night with all the use figures, etc., that are needed to advise clients appropriately."
146.64,154.48,"And last but not least, the instrument universe, talking about instruments, it's funds, ETFs, stocks, structured products, etc."
154.96,160.96,So quite a broad range of products that we model actually in our software.
161.36,163.20,Can you move on to the next slide?
163.52,166.16,I won't go too deep into this one.
166.48,169.20,"It's basically, I think, the middle part here."
169.84,171.84,"Our solutions, that's the most relevant one."
172.16,176.88,"And the highlighted one in orange, which is the one that we're working on today and tomorrow."
