Start (s),End (s),Segment
0.48,11.60,So you can connect related to something that's later on the other day it was outside and then they made it.
14.40,28.24,So it's kind of like a it's easy for me to get kind of CCC that's why it has the trick because they're always saying like you'll make the same information right in CTS.
33.52,36.32,It's more like a customer.
36.96,48.72,I don't think customers call you any especially if the market shows up.
49.28,52.88,I see this guy says your customers.
64.08,68.08,It's really possible it's not fraud to say that you call the customers right.
68.72,80.88,But you will never have the time to call all your customers so you will have probably the majority calling you because in the end you by yourself will just have 20 from the customer's rights.
81.04,82.08,So it's a customer's point.
87.12,88.96,"Quickly, exactly."
89.20,97.92,"But it's definitely possible to say, hey, not all the seconds, I need to kind of like take a second or two scouts to look at situations."
98.80,99.76,That's definitely possible.
99.84,102.24,But that's why I say half an hour is too long.
102.80,105.28,So it needs to be something within seconds.
112.80,113.92,Do you guys have some questions?
117.44,119.20,I think we're good.
170.00,171.76,We can test the bottom right here.
187.36,193.28,So there are these tools who basically are like live co-pilots on a call.
193.60,194.24,That's the idea.
194.64,200.00,"So we do live text to speech-to-text transcription, get feedback."
201.76,206.48,"And then it detects, okay, from this number, that number is probably already stored somewhere in the CRM."
206.80,214.72,"So the system can watch, when the call is already there, it's not even answered, can spin up, okay, it's this person, it's this portfolio, connected to that, invested to that."
215.52,218.88,"Okay, this person is invested into Taiwan Semiconductor chip."
219.44,220.64,Why is this stock going down?
220.88,222.96,"New speech, China just invested."
224.72,226.64,That's one element.
227.20,232.16,"But the idea, so in this challenge, you actually state that the flow is the following, right?"
232.40,233.52,Trigger the briefing.
234.00,238.00,The device starts the briefing from a clear entry point in the mocked device control interface.
238.32,241.12,"Our idea would be to start one level earlier, right?"
241.76,242.96,There is a call incoming.
243.12,248.00,"The system spins this already up, and we have live coaching in the call."
248.16,251.12,Because there's some kind of customer support agents who already do that.
252.32,255.44,"So the customer asks, okay, how do I change this?"
256.00,261.60,"The customer support agent doesn't know, but the system tells him already from the documentation, click here, here, here."
262.08,266.24,"So basically, that is the idea where we are right now."
